id,area,district,floor,distance_to_center,rent_price
1415,82.1,business,11,3.73,3848.49
1416,102.5,suburb,12,13.66,2039.19
1417,78.8,old_town,8,3.71,1720.9
1418,27.4,university,8,1.43,3745.62
1419,89.3,old_town,7,3.38,3004.89
1420,76.7,business,13,3.96,5665.4
1421,64.0,university,6,2.88,1010.52
1422,40.2,university,11,4.37,1858.12
1423,49.7,old_town,2,2.72,2693.3
1424,82.3,riverside,13,4.41,1326.14
1425,76.8,residential,13,6.08,4035.75
1426,72.2,university,8,1.75,2952.86
1427,66.4,residential,5,8.72,2533.22
1428,122.9,suburb,17,13.74,1039.66
1429,81.2,residential,21,10.22,2210.58
1430,45.7,business,29,2.91,2192.81
1431,43.5,business,31,2.42,3316.09
1432,97.4,green_zone,1,7.04,3052.77
1433,64.6,green_zone,6,9.41,2901.34
1434,38.4,business,36,3.75,3374.78
1435,49.6,residential,9,3.84,4544.79
1436,42.9,university,14,2.52,2724.73
1437,29.5,industrial,10,11.8,350.0
1438,43.7,university,16,4.37,2585.93
1439,65.2,business,9,3.06,3055.59
1440,63.2,business,3,3.32,3584.95
1441,84.8,residential,5,6.99,1508.83
1442,38.9,university,8,5.3,2545.17
1443,67.8,riverside,7,6.71,3268.1
1444,118.6,old_town,8,3.36,3706.24
1445,68.8,old_town,3,3.21,3172.58
1446,89.2,business,20,3.23,2721.24
1447,31.2,university,10,2.24,5148.83
1448,23.2,suburb,10,17.02,653.6
1449,102.4,suburb,12,21.25,2347.09
1450,147.1,luxury_hills,3,14.49,14216.82
1451,40.3,industrial,12,8.42,1255.14
1452,88.6,luxury_hills,12,9.37,9707.2
1453,28.6,university,14,3.52,2570.35
1454,79.8,central,8,2.16,4297.17
1455,78.2,business,6,0.2,5296.13
1456,78.5,green_zone,10,9.26,1936.57
1457,67.7,riverside,8,4.47,2507.6
1458,61.4,industrial,10,9.76,3261.12
1459,95.9,industrial,14,7.64,2094.86
1460,77.0,suburb,8,13.15,2098.47
1461,33.0,industrial,6,10.93,350.0
1462,85.0,central,6,1.68,4788.07
1463,86.0,green_zone,3,7.72,1315.76
1464,112.4,suburb,6,9.45,3410.2
1465,83.6,green_zone,11,10.0,2061.19
1466,111.1,old_town,3,1.32,5752.68
1467,52.0,industrial,12,11.26,1132.0
1468,50.3,business,6,2.63,2724.78
1469,75.9,central,7,1.37,4713.6
1470,89.6,residential,6,7.86,3314.9
1471,95.7,residential,2,9.87,2578.82
1472,45.6,university,4,5.1,2158.68
1473,56.5,old_town,4,2.54,2950.02
1474,49.0,industrial,8,8.68,350.0
1475,81.2,green_zone,3,10.94,2315.92
1476,72.3,green_zone,20,6.74,2353.64
1477,50.7,university,6,2.94,4462.93
1478,164.3,suburb,1,13.28,1440.17
1479,105.9,suburb,10,12.8,2762.05
1480,92.5,green_zone,4,6.36,2630.02
1481,52.1,central,1,0.61,4596.68
1482,84.6,business,7,4.8,3128.61
1483,64.2,industrial,6,7.9,2086.76
1484,148.3,luxury_hills,10,3.96,27534.44
1485,113.7,suburb,14,14.7,3091.23
1486,52.9,central,11,1.57,4199.41
1487,74.4,residential,2,8.82,2559.02
1488,20.8,business,24,1.66,2846.27
1489,75.0,riverside,12,9.12,1641.46
1490,108.4,riverside,10,5.67,3032.3
1491,162.9,luxury_hills,24,9.67,22191.61
1492,66.8,residential,6,4.72,3279.82
1493,103.5,business,8,3.24,4039.0
1494,61.6,business,11,3.87,3286.64
1495,117.4,suburb,6,11.13,2162.2
1496,77.7,residential,10,5.29,3536.87
1497,51.4,university,9,5.78,2737.81
1498,137.5,suburb,8,7.77,2570.41
1499,62.9,residential,5,7.7,977.85
1500,59.4,university,7,7.78,1713.09
1501,38.5,riverside,12,5.36,2516.23
1502,97.7,suburb,15,8.84,1829.54
1503,47.0,industrial,14,13.31,557.89
1504,59.1,green_zone,3,6.44,1747.25
1505,51.3,business,6,1.75,2915.05
1506,30.5,university,16,5.25,3533.98
1507,66.2,suburb,2,13.53,2056.55
1508,73.8,old_town,1,1.82,3513.42
1509,39.6,industrial,8,10.09,2061.85
1510,43.7,suburb,12,11.38,2167.24
1511,39.6,university,12,1.98,2291.6
1512,64.9,old_town,3,2.17,2320.15
1513,76.6,industrial,15,10.94,1037.26
1514,63.6,suburb,4,13.16,2341.78
1515,33.6,university,3,5.38,2289.44
1516,72.9,central,7,2.32,4861.41
1517,89.1,riverside,12,8.17,3528.83
1518,51.9,industrial,12,10.08,916.92
1519,65.4,old_town,8,1.17,3479.14
1520,79.3,riverside,25,8.35,1999.5
1521,89.3,old_town,8,0.72,5709.67
1522,77.2,central,16,0.66,3971.12
1523,68.6,riverside,12,4.73,2902.12
1524,89.3,suburb,6,9.71,2681.69
1525,45.8,business,37,4.48,2804.97
1526,122.2,suburb,4,18.23,350.0
1527,43.7,university,14,4.71,1863.79
1528,64.3,residential,10,9.11,2374.21
1529,102.9,suburb,16,11.22,1866.23
1530,61.3,university,18,6.92,1525.16
1531,35.5,business,5,4.08,2657.44
1532,99.9,suburb,12,5.4,4992.43
1533,101.0,residential,11,11.91,2150.92
1534,75.5,business,19,2.3,5872.16
1535,100.3,business,12,3.22,2028.84
1536,53.6,university,18,8.01,2270.58
1537,48.7,riverside,11,2.53,3420.2
1538,58.9,residential,6,6.05,1780.71
1539,103.7,suburb,7,8.77,2094.98
1540,71.2,suburb,4,12.19,3807.73
1541,62.1,central,13,0.96,5900.0
1542,59.0,university,19,3.85,2943.44
1543,59.5,business,11,4.5,2847.33
1544,18.0,university,5,4.96,3289.7
1545,41.0,green_zone,6,7.32,2383.75
1546,66.2,business,5,1.75,5036.82
1547,95.5,residential,16,12.22,1884.41
1548,59.6,business,36,2.51,2948.75
1549,84.9,industrial,12,13.2,1761.19
1550,70.1,residential,9,7.01,1946.05
1551,64.7,suburb,8,11.61,1472.63
1552,47.6,residential,1,7.38,1978.37
1553,48.7,old_town,8,3.56,4052.27
1554,69.7,residential,2,9.63,1786.62
1555,89.9,central,6,0.89,6532.9
1556,130.3,old_town,8,1.1,2859.64
1557,72.7,old_town,3,2.28,2736.84
1558,31.0,suburb,6,11.91,996.93
1559,150.5,luxury_hills,15,8.95,15336.8
1560,85.5,riverside,11,8.97,3543.12
1561,77.1,business,19,3.26,4134.07
1562,76.4,business,3,1.94,3548.49
1563,74.5,industrial,11,11.96,1208.62
1564,113.5,residential,7,6.94,1400.7
1565,83.9,business,1,2.34,1577.74
1566,82.6,suburb,11,10.48,3022.8
1567,71.4,riverside,1,2.7,5340.18
1568,73.7,riverside,12,1.68,4312.39
1569,97.2,residential,15,10.68,2045.11
1570,31.5,industrial,6,14.06,654.46
1571,78.4,green_zone,9,11.9,3097.24
1572,69.3,residential,7,10.45,1460.83
1573,52.7,suburb,4,11.95,2312.02
1574,74.5,suburb,1,12.93,2451.2
1575,67.3,riverside,1,6.64,2915.87
1576,57.3,industrial,14,11.69,679.16
1577,49.1,suburb,6,11.67,1642.59
1578,74.5,industrial,15,7.84,1670.5
1579,73.3,central,31,1.31,7497.65
1580,39.9,residential,4,9.59,350.0
1581,65.1,business,21,1.78,4205.41
1582,68.3,business,18,2.04,4177.56
1583,161.7,luxury_hills,8,9.56,18043.09
1584,67.5,central,24,1.72,5131.06
1585,66.6,business,9,2.54,4252.12
1586,44.0,riverside,2,7.09,1765.75
1587,85.3,suburb,17,12.3,1597.7
1588,50.4,university,16,1.29,2825.25
1589,35.0,business,38,2.78,3836.48
1590,94.6,business,8,3.16,3809.68
1591,29.1,old_town,8,3.87,1631.35
1592,67.3,old_town,4,1.38,2297.05
1593,113.1,green_zone,10,7.43,4653.22
1594,55.0,university,2,4.27,2176.22
1595,34.5,industrial,16,7.44,774.94
1596,48.2,central,34,2.42,6860.9
1597,111.7,suburb,18,10.61,2083.12
1598,47.4,residential,12,7.55,2031.73
1599,50.0,suburb,5,10.85,1893.64
1600,60.5,university,2,3.46,1634.66
1601,102.3,suburb,12,9.01,3302.74
1602,114.0,suburb,10,12.77,4913.2
1603,66.1,suburb,18,12.57,1794.3
1604,69.9,riverside,14,5.35,2884.26
1605,90.6,green_zone,9,7.35,1845.14
1606,36.7,industrial,7,7.65,2071.11
1607,62.7,residential,10,11.37,2356.76
1608,26.8,university,1,4.54,3364.85
1609,72.6,business,2,3.05,6220.24
1610,81.9,riverside,6,2.65,2541.99
1611,58.1,suburb,9,11.18,2586.56
1612,98.7,residential,10,6.32,2023.59
1613,63.9,residential,12,7.91,1970.06
1614,62.5,residential,6,11.3,2166.78
1615,123.6,riverside,26,3.72,2573.74
1616,74.7,residential,9,8.67,1824.35
1617,56.1,old_town,4,3.19,2756.57
1618,62.6,university,10,4.49,2336.96
1619,57.6,residential,6,10.3,2181.09
1620,39.1,central,11,2.19,2604.57
1621,35.3,university,13,0.2,2669.4
1622,52.5,riverside,4,8.55,2458.59
1623,105.3,riverside,6,6.74,2729.62
1624,169.4,suburb,7,10.21,1417.48
1625,33.3,central,12,1.69,4394.04
1626,62.4,riverside,1,7.29,2386.76
1627,70.7,business,7,0.74,4315.45
1628,73.6,residential,5,6.49,4204.18
1629,30.0,central,5,1.96,3430.08
1630,81.7,green_zone,20,6.52,3381.09
1631,135.5,riverside,11,6.4,5596.61
1632,58.4,industrial,12,15.09,1002.56
1633,74.9,suburb,5,11.75,2226.13
1634,24.6,university,17,4.7,3800.85
1635,133.1,luxury_hills,10,8.2,13269.73
1636,30.0,business,1,2.53,4130.87
1637,66.7,riverside,2,8.64,3112.03
1638,216.8,luxury_hills,4,14.6,17926.51
1639,40.0,residential,12,7.49,3342.99
1640,53.1,old_town,4,0.21,3664.03
1641,70.4,central,7,1.52,2121.43
1642,41.6,residential,1,6.95,1667.8
1643,49.3,business,11,2.3,5844.19
1644,114.9,suburb,11,10.75,1603.81
1645,121.3,suburb,15,13.62,1634.33
1646,79.4,central,2,1.69,2317.29
1647,110.5,green_zone,7,8.21,3292.54
1648,59.1,business,4,3.57,3094.32
1649,65.4,residential,12,8.7,2262.48
1650,78.0,green_zone,16,7.4,3082.85
1651,50.3,central,28,1.75,5852.77
1652,122.9,suburb,11,15.4,1216.91
1653,50.8,industrial,12,12.03,1692.53
1654,68.7,suburb,12,9.62,3162.54
1655,59.6,industrial,10,10.3,1499.41
1656,104.9,green_zone,9,14.15,2115.43
1657,28.4,residential,4,3.54,2430.39
1658,85.1,suburb,12,9.55,2134.04
1659,85.8,luxury_hills,6,9.45,9577.72
1660,79.8,residential,7,5.44,3546.94
1661,49.8,residential,10,12.31,1749.08
1662,70.0,old_town,4,2.56,2452.81
1663,107.0,riverside,7,5.63,3843.01
1664,74.5,suburb,16,13.37,2058.35
1665,33.3,university,12,5.6,2068.78
1666,46.0,central,11,1.72,4503.24
1667,96.6,suburb,4,9.07,2386.31
1668,45.4,old_town,5,2.62,3048.15
1669,64.6,residential,6,10.07,2213.04
1670,56.3,old_town,8,3.33,2533.41
1671,55.8,business,7,2.51,2959.81
1672,59.6,industrial,14,7.14,864.81
1673,25.9,central,1,0.64,4650.85
1674,71.8,riverside,27,4.76,3723.43
1675,57.3,green_zone,17,7.32,2762.5
1676,71.6,business,33,1.94,3765.47
1677,86.3,business,11,0.34,6404.09
1678,58.4,residential,2,9.26,1458.08
1679,36.1,industrial,1,10.81,1422.44
1680,64.3,residential,13,6.95,1887.01
1681,31.0,university,1,5.4,2478.68
1682,104.7,residential,14,4.96,1541.94
1683,48.5,residential,6,11.51,1758.43
1684,80.4,residential,13,7.15,3759.11
1685,38.7,residential,3,7.45,2749.07
1686,162.2,green_zone,20,7.15,2228.7
1687,93.3,central,29,1.48,2648.69
1688,57.8,university,3,8.59,1680.58
1689,30.8,riverside,7,5.87,2812.66
1690,146.4,luxury_hills,12,5.84,25148.16
1691,57.4,riverside,27,6.88,3293.03
1692,43.1,central,29,1.5,4244.57
1693,55.0,suburb,3,11.91,1310.13
1694,32.6,university,17,8.34,3095.9
1695,113.8,residential,4,5.41,3275.87
1696,83.0,business,9,3.07,3566.09
1697,72.1,residential,4,4.38,1854.07
1698,36.3,university,8,6.84,2187.96
1699,22.9,residential,20,8.84,1475.55
1700,60.1,business,11,1.34,3745.31
1701,18.0,luxury_hills,11,8.13,3915.56
1702,110.8,riverside,11,6.41,4017.12
1703,63.8,business,11,2.49,4192.3
1704,35.5,university,5,8.41,2267.89
1705,72.5,university,12,5.05,2522.04
1706,114.4,green_zone,6,11.13,1281.0
1707,18.0,business,5,3.39,2804.83
1708,29.4,business,10,1.2,3923.35
1709,41.6,university,10,1.29,2753.0
1710,96.3,suburb,6,7.09,2621.68
1711,71.2,business,9,3.65,3969.03
1712,47.3,suburb,17,10.42,2115.95
1713,35.1,industrial,2,11.12,1683.64
1714,79.6,green_zone,16,8.12,2558.71
1715,37.6,university,4,2.63,2443.41
1716,46.7,riverside,8,4.26,3582.52
1717,69.3,business,17,3.02,3933.38
1718,91.1,suburb,14,12.05,2803.53
1719,73.2,business,12,3.2,3767.09
1720,42.8,suburb,4,6.7,2734.14
1721,71.1,residential,5,8.09,2434.4
1722,100.5,suburb,2,9.77,1883.77
1723,88.1,suburb,3,15.08,760.63
1724,116.0,suburb,11,7.92,2315.78
1725,77.7,residential,16,2.27,1603.45
1726,98.2,riverside,11,7.34,5341.95
1727,83.7,central,25,1.05,7227.61
1728,68.9,residential,9,6.08,4357.92
1729,91.7,suburb,17,15.95,1615.63
1730,70.6,riverside,24,7.94,3011.57
1731,93.6,suburb,11,6.14,1888.65
1732,55.2,industrial,10,7.51,1933.19
1733,91.1,luxury_hills,8,10.43,12671.76
1734,138.4,suburb,12,12.63,906.13
1735,55.2,old_town,8,2.61,2481.04
1736,71.1,suburb,8,18.41,2738.07
1737,95.5,suburb,7,12.72,3007.24
1738,131.9,luxury_hills,2,9.44,15699.55
1739,49.6,university,11,2.12,2604.66
1740,56.8,residential,15,5.28,1684.44
1741,121.1,suburb,1,14.69,1514.15
1742,29.2,residential,3,4.71,2298.37
1743,49.2,residential,22,8.3,2265.63
1744,57.8,residential,7,9.46,1370.91
1745,58.1,green_zone,20,9.61,1794.5
1746,48.3,central,31,0.79,5933.86
1747,73.1,industrial,14,7.84,1684.32
1748,88.4,residential,18,6.97,2950.9
1749,18.0,university,7,4.33,3377.65
1750,64.0,suburb,4,13.96,1260.84
1751,65.5,residential,7,6.62,3112.96
1752,75.3,business,8,4.27,3037.02
1753,60.0,suburb,8,8.96,1321.79
1754,73.0,green_zone,3,7.08,3183.65
1755,62.7,old_town,7,2.81,1870.26
1756,70.2,suburb,6,7.43,2160.4
1757,71.8,business,35,3.17,3519.82
1758,74.4,residential,6,6.12,2555.86
1759,79.2,riverside,5,5.17,4404.48
1760,122.5,suburb,5,15.5,2160.44
1761,46.5,riverside,9,7.48,1945.2
1762,89.2,residential,13,10.32,1133.99
1763,68.4,central,3,1.71,4978.52
1764,32.3,riverside,14,3.98,3084.5
1765,150.4,suburb,11,11.69,1792.85
1766,84.1,residential,4,3.3,2545.09
1767,54.0,industrial,3,13.39,1137.33
1768,49.2,residential,3,10.73,1765.16
1769,124.7,residential,1,5.37,4071.34
1770,100.0,suburb,12,10.71,2051.68
1771,47.5,university,4,2.92,3054.65
1772,40.6,university,13,3.72,2902.11
1773,84.9,riverside,17,8.09,1954.52
1774,77.0,industrial,12,9.34,1608.23
1775,99.8,green_zone,3,6.71,2594.49
1776,33.4,central,7,1.95,1833.85
1777,68.5,green_zone,6,5.36,2691.41
1778,102.8,residential,20,7.25,2230.31
1779,40.9,industrial,7,8.64,972.4
1780,73.9,green_zone,7,7.21,1924.74
1781,18.0,university,19,6.46,1856.95
1782,59.6,central,5,0.34,3929.26
1783,75.8,riverside,11,6.98,2723.84
1784,60.8,luxury_hills,9,9.54,6072.22
1785,48.4,residential,14,6.06,3070.63
1786,62.3,suburb,15,12.92,1642.56
1787,30.4,central,16,1.89,3599.53
1788,72.1,residential,9,5.59,1888.53
1789,102.1,residential,12,8.75,2717.33
1790,60.8,industrial,1,10.33,1171.2
1791,33.4,university,15,1.36,2533.15
1792,78.7,residential,1,7.97,2745.09
1793,54.0,residential,16,3.51,1088.04
1794,67.1,riverside,30,4.2,2854.31
1795,75.0,suburb,8,14.31,1424.51
1796,49.8,residential,10,9.85,2349.97
1797,71.9,residential,9,8.32,2716.52
1798,71.7,business,12,1.81,8070.92
1799,100.8,luxury_hills,1,9.64,10905.75
1800,18.0,central,3,2.76,4485.63
1801,55.9,central,10,1.0,1982.08
1802,69.1,industrial,9,13.31,1449.84
1803,70.8,residential,14,4.54,2558.8
1804,126.8,luxury_hills,7,7.72,14335.89
1805,100.1,old_town,1,3.14,2844.31
1806,90.0,riverside,4,5.51,2911.31
1807,77.1,riverside,4,11.19,3068.7
1808,63.9,central,22,1.79,5673.87
1809,93.7,riverside,6,7.86,3712.56
1810,35.1,central,13,1.21,6940.18
1811,34.9,residential,13,6.66,1254.21
1812,42.5,business,38,3.99,2430.65
1813,96.9,residential,12,5.83,1638.26
1814,66.9,industrial,1,10.56,3152.53
1815,88.9,luxury_hills,1,8.17,8629.92
1816,162.7,suburb,3,9.15,3261.57
1817,75.8,old_town,4,3.24,2351.34
1818,109.7,green_zone,2,7.79,7999.79
1819,50.7,industrial,3,8.04,1464.15
1820,27.1,central,12,0.2,4195.4
1821,55.8,central,10,1.25,6266.25
1822,62.6,university,3,4.2,2046.77
1823,80.7,riverside,4,7.35,3334.33
1824,41.2,industrial,1,9.0,1715.81
1825,67.8,university,13,6.49,2439.27
1826,63.1,business,6,2.22,2901.76
1827,66.3,suburb,10,10.1,2381.48
1828,57.0,business,28,2.57,3300.75
1829,45.3,university,6,0.2,2667.91
1830,59.5,business,8,3.65,3477.11
1831,24.1,university,6,3.51,2449.86
1832,67.0,industrial,4,7.87,1138.62
1833,75.0,residential,12,6.28,2454.09
1834,106.5,luxury_hills,9,11.66,9051.95
1835,45.7,university,4,4.12,2464.55
1836,61.4,green_zone,20,9.08,3271.08
1837,108.6,green_zone,12,6.33,1894.26
1838,105.0,residential,18,7.14,1210.84
1839,51.8,central,17,0.7,4176.0
1840,131.4,green_zone,15,7.95,4852.31
1841,61.7,business,6,2.88,9223.6
1842,43.7,university,12,5.67,3261.19
1843,18.0,university,12,3.7,2960.47
1844,76.6,business,6,4.14,3287.35
1845,73.4,business,7,1.65,3702.91
1846,45.5,riverside,8,6.68,2578.79
1847,68.8,green_zone,6,9.59,1795.48
1848,42.5,central,10,2.37,2517.55
1849,61.2,suburb,3,7.78,2694.92
1850,73.3,riverside,28,2.42,3041.92
1851,85.0,business,34,3.8,4296.96
1852,66.2,residential,4,6.98,2616.34
1853,48.0,industrial,2,11.28,821.25
1854,83.3,green_zone,4,2.81,3950.57
1855,158.4,suburb,11,14.11,1369.19
1856,53.2,industrial,9,9.65,1367.07
1857,72.7,residential,17,5.54,2305.05
1858,94.1,old_town,5,2.11,9769.76
1859,66.3,green_zone,9,3.04,2182.23
1860,76.4,suburb,17,6.78,2140.87
1861,50.5,residential,4,8.55,1840.67
1862,48.3,suburb,15,12.18,1899.67
1863,72.2,residential,5,11.63,2679.03
1864,98.2,green_zone,17,6.6,2051.51
1865,58.9,industrial,9,7.24,614.18
1866,54.9,university,1,4.34,2553.98
1867,75.1,central,5,2.35,4443.82
1868,52.3,central,12,3.23,3820.4
1869,69.5,residential,11,7.48,2597.17
1870,65.0,residential,15,4.14,2971.6
1871,72.7,industrial,12,9.11,709.82
1872,75.0,business,1,2.03,2055.87
1873,82.4,riverside,9,2.91,3934.49
1874,45.8,business,5,3.31,2388.01
1875,40.7,industrial,2,12.35,1587.2
1876,71.0,business,30,3.27,2305.77
1877,92.8,old_town,3,3.75,2334.71
1878,70.2,residential,3,4.06,1890.65
1879,120.2,suburb,14,14.28,1931.33
1880,74.2,university,2,3.33,2267.75
1881,95.8,residential,10,10.51,3155.1
1882,52.5,green_zone,6,5.68,4304.23
1883,88.1,business,6,3.62,2335.34
1884,78.0,riverside,27,6.64,3555.04
1885,48.6,residential,21,9.22,2132.48
1886,97.1,green_zone,6,8.58,2305.6
1887,44.2,industrial,10,11.05,1100.86
1888,62.9,central,35,1.06,6626.74
1889,130.3,residential,8,7.97,1251.87
1890,43.1,university,7,4.48,2820.25
1891,32.9,university,11,7.22,4989.58
1892,55.7,university,4,6.55,3080.95
1893,136.2,green_zone,4,3.08,4480.55
1894,62.9,business,13,2.56,2884.58
1895,53.8,residential,8,3.73,1761.77
1896,144.6,old_town,1,3.43,2580.5
1897,111.4,residential,6,7.84,3496.01
1898,62.8,suburb,5,13.32,2346.71
1899,186.6,luxury_hills,3,9.47,20943.65
1900,44.5,central,8,1.26,2351.37
1901,48.1,industrial,8,12.04,685.93
1902,42.7,university,3,7.04,2204.07
1903,67.5,residential,4,8.6,2237.96
1904,18.0,university,9,7.02,2324.49
1905,103.4,suburb,12,15.17,2216.53
1906,56.7,industrial,12,9.54,1783.7
1907,88.1,old_town,8,3.37,5440.0
1908,55.9,riverside,8,6.0,4379.32
1909,56.9,business,3,5.38,1993.12
1910,30.7,central,3,2.63,3671.97
1911,75.9,old_town,4,2.98,3039.47
1912,73.3,residential,2,4.99,2598.58
1913,46.8,business,3,3.24,3657.43
1914,128.3,old_town,8,1.49,2386.17
1915,78.7,central,1,1.92,3719.86
1916,61.2,old_town,2,3.32,2306.59
1917,59.3,suburb,7,7.29,1625.76
1918,75.5,residential,11,9.58,1754.88
1919,125.5,suburb,12,14.6,1334.44
1920,65.0,residential,1,5.54,1247.38
1921,65.8,riverside,5,7.9,4013.76
1922,24.6,business,2,1.99,2710.89
1923,32.1,residential,7,5.96,2554.42
1924,75.8,riverside,6,7.13,2207.68
1925,102.1,old_town,2,0.5,2027.71
1926,61.0,business,12,3.49,3729.94
1927,70.6,central,12,0.97,5175.74
1928,35.1,business,1,4.19,4121.89
1929,103.0,suburb,14,10.37,888.01
1930,105.7,suburb,13,10.68,2428.97
1931,102.5,riverside,10,4.76,2206.83
1932,117.3,luxury_hills,18,13.09,12180.65
1933,18.0,university,7,6.84,5236.45
1934,91.5,old_town,4,2.89,3523.08
1935,42.8,university,14,5.88,1847.87
1936,72.2,business,26,2.59,4069.85
1937,41.4,green_zone,16,10.2,1501.92
1938,112.2,suburb,1,9.98,1876.2
1939,73.8,residential,5,5.55,1433.7
1940,61.5,riverside,7,5.83,1973.51
1941,128.8,suburb,3,11.12,1988.28
1942,74.4,residential,18,11.93,2280.26
1943,18.5,central,5,1.61,2875.8
1944,36.4,business,4,3.08,3124.39
1945,50.8,suburb,12,14.66,1703.95
1946,43.9,residential,11,7.41,1672.02
1947,43.3,industrial,2,8.99,1776.45
1948,117.9,suburb,6,9.1,4787.08
1949,61.3,green_zone,8,8.38,2549.72
1950,121.3,suburb,2,10.44,1112.69
1951,91.4,business,5,2.22,3908.49
1952,110.0,green_zone,11,13.04,3794.54
1953,71.1,green_zone,4,5.35,2740.57
1954,35.1,central,30,1.7,4831.68
1955,45.3,old_town,7,1.75,3502.13
1956,71.3,central,4,0.49,6518.36
1957,54.6,university,17,3.82,2974.76
1958,79.4,suburb,15,14.07,2830.25
1959,75.4,university,6,5.25,895.5
1960,35.8,central,7,0.64,3879.35
1961,77.0,riverside,2,7.86,1681.73
1962,71.1,residential,11,10.34,1462.11
1963,49.2,university,1,4.04,2109.28
1964,58.4,university,17,3.93,1952.29
1965,64.6,riverside,7,6.46,2137.09
1966,47.1,industrial,8,10.18,1723.47
1967,86.7,riverside,22,5.67,4712.42
1968,42.7,green_zone,17,10.54,2219.67
1969,113.0,residential,12,10.2,2771.36
1970,104.6,riverside,10,5.86,5131.07
1971,32.1,residential,5,7.85,2191.59
1972,69.5,green_zone,1,7.52,2142.73
1973,68.1,residential,10,9.88,2486.39
1974,97.8,residential,10,4.72,3396.85
1975,90.8,residential,8,8.79,3701.58
1976,18.0,old_town,1,2.48,2710.69
1977,95.5,business,3,1.4,4794.69
1978,84.4,riverside,16,4.8,3849.6
1979,102.9,suburb,7,6.59,1654.44
1980,93.9,suburb,12,7.94,2870.2
1981,120.2,residential,1,6.97,5082.68
1982,69.2,industrial,12,10.94,966.76
1983,71.7,residential,1,8.19,4956.68
1984,18.0,university,12,4.41,2732.44
1985,82.6,residential,8,6.52,2778.1
1986,94.6,residential,7,7.13,3382.54
1987,38.3,residential,12,7.77,1948.88
1988,64.6,central,24,0.75,4069.13
1989,69.0,riverside,12,7.45,1631.39
1990,38.5,university,12,5.1,2873.48
1991,62.9,residential,2,7.54,1088.84
1992,36.5,central,12,1.78,4011.39
1993,65.9,business,32,5.09,3555.6
1994,40.7,university,20,6.72,2295.63
1995,46.9,central,9,2.48,2505.05
1996,77.8,green_zone,2,8.21,4073.31
1997,54.7,business,11,4.16,4025.43
1998,60.1,suburb,1,10.3,1989.76
1999,45.5,green_zone,2,6.11,2475.12
2000,39.2,central,1,1.59,3149.47
2001,84.4,residential,4,10.76,1615.42
2002,48.6,business,23,1.11,3709.6
2003,60.8,residential,3,7.0,7042.33
2004,60.5,residential,11,3.86,2237.46
2005,26.6,industrial,4,5.6,2027.74
2006,81.7,business,10,3.82,5176.51
2007,120.0,suburb,12,4.59,4764.04
2008,40.1,university,9,4.17,1216.12
2009,104.5,residential,22,3.5,2963.79
2010,91.0,riverside,24,5.73,3765.82
2011,102.7,residential,8,7.57,2081.65
2012,30.6,university,9,5.27,4109.79
2013,75.5,central,11,0.71,3904.9
2014,33.9,residential,2,8.33,1948.85
2015,60.9,industrial,4,11.65,2110.75
2016,79.3,suburb,12,12.86,2113.2
2017,59.7,riverside,21,6.46,2279.9
2018,101.8,old_town,7,1.54,2721.55
2019,40.8,university,18,2.69,3008.13
2020,49.9,university,5,5.86,2413.79
2021,101.9,riverside,12,7.28,3506.42
2022,89.3,riverside,16,3.96,2960.3
2023,38.1,residential,20,11.95,1397.35
2024,90.4,central,7,2.16,2915.83
2025,49.1,university,8,1.99,1678.03
2026,58.3,industrial,14,6.73,1398.54
2027,49.8,business,12,1.39,2657.14
2028,34.1,university,10,3.91,3338.2
2029,149.4,luxury_hills,9,7.61,13246.5
2030,77.7,residential,6,9.14,2829.88
2031,50.2,business,20,1.37,4781.37
2032,188.3,luxury_hills,20,11.0,17235.76
2033,113.8,riverside,13,6.34,2290.8
2034,47.0,residential,3,6.15,2643.16
2035,36.3,residential,7,7.68,1960.07
2036,32.8,business,4,3.39,2925.16
2037,73.5,business,6,3.25,4572.99
2038,78.2,green_zone,4,7.93,6953.77
2039,76.5,green_zone,6,7.69,3337.65
2040,57.2,central,28,3.28,11514.12
2041,95.7,industrial,3,7.2,1901.37
2042,135.2,suburb,12,5.28,4614.61
2043,19.5,residential,19,10.35,1644.81
2044,31.9,residential,17,7.68,1867.85
2045,92.1,old_town,7,2.27,3313.35
2046,68.2,riverside,25,3.85,3642.97
2047,69.9,central,2,0.2,3158.22
2048,81.3,suburb,3,9.85,3391.97
2049,22.1,residential,2,4.45,989.64
2050,121.8,riverside,21,4.85,3257.73
2051,55.7,residential,2,8.57,2156.6
2052,28.0,suburb,3,10.1,1187.0
2053,33.0,university,10,3.01,4039.91
2054,89.4,suburb,17,12.32,1994.26
2055,52.0,suburb,4,15.52,2368.31
2056,55.1,business,25,3.62,3623.89
2057,86.0,central,12,0.43,9177.68
2058,131.4,suburb,7,10.3,1066.43
2059,76.6,residential,3,5.77,2663.67
2060,75.3,riverside,2,4.16,3881.39
2061,55.5,old_town,5,2.99,2064.07
2062,19.6,residential,8,10.93,1630.18
2063,47.5,university,8,5.46,1871.2
2064,42.5,business,2,1.99,3525.7
2065,66.2,central,13,0.84,2565.76
2066,46.9,university,12,2.66,1786.97
2067,48.6,university,3,5.34,3160.45
2068,81.9,suburb,4,15.05,2158.62
2069,42.8,residential,12,7.09,2025.81
2070,64.6,university,10,4.64,1589.11
